cod_matricula,importe_matricula,modalidad,fec_matricula_original,meses_duracion_original,fecha_inicio_reconocimiento_original,fecha_fin_reconocimiento_original,fecha_inicio_producto_original,fecha_fin_producto_original,fecha_inicio_reparto_calculada,fecha_fin_reparto_calculada,origen_fechas_calculadas
CLFC458,300,PRESENCIAL,2025-03-25,0.0,2025-05-16,2025-05-17,2025-05-16,2025-05-17,2025-05-16,2025-05-17,Reconocimiento
CLFC379,520,PRESENCIAL,2025-03-19,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC403,700,PRESENCIAL,2025-03-22,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC468,479,ONLINE,2025-03-26,12.0,,,,,2025-03-26,2025-03-26,ONLINE: fec_matricula
CLFC494,665,PRESENCIAL,2025-03-27,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC498,320,ONLINE,2025-03-28,4.0,,,,,2025-03-28,2025-03-28,ONLINE: fec_matricula
CLFC503,665,PRESENCIAL,2025-03-28,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC505,150,ONLINE,2025-03-28,4.0,,,,,2025-03-28,2025-03-28,ONLINE: fec_matricula
CLFC509,155,ONLINE,2025-03-29,4.0,,,,,2025-03-29,2025-03-29,ONLINE: fec_matricula
CLFC511,190,ONLINE,2025-03-30,4.0,,,,,2025-03-30,2025-03-30,ONLINE: fec_matricula
CLFC512,185,ONLINE,2025-03-30,4.0,,,,,2025-03-30,2025-03-30,ONLINE: fec_matricula
CLFC513,105,ONLINE,2025-03-30,4.0,,,,,2025-03-30,2025-03-30,ONLINE: fec_matricula
CLFC515,185,ONLINE,2025-03-30,4.0,,,,,2025-03-30,2025-03-30,ONLINE: fec_matricula
CLFC487,665,PRESENCIAL,2025-03-27,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC497,320,ONLINE,2025-03-27,4.0,,,,,2025-03-27,2025-03-27,ONLINE: fec_matricula
CLFC516,159,ONLINE,2025-03-30,4.0,,,,,2025-03-30,2025-03-30,ONLINE: fec_matricula
CLFC519,175,ONLINE,2025-03-31,4.0,,,,,2025-03-31,2025-03-31,ONLINE: fec_matricula
CLFC520,135,ONLINE,2025-03-31,4.0,,,,,2025-03-31,2025-03-31,ONLINE: fec_matricula
CLFC521,175,ONLINE,2025-03-31,4.0,,,,,2025-03-31,2025-03-31,ONLINE: fec_matricula
CLFC522,175,ONLINE,2025-03-31,4.0,,,,,2025-03-31,2025-03-31,ONLINE: fec_matricula
CLFC523,190,ONLINE,2025-03-31,4.0,,,,,2025-03-31,2025-03-31,ONLINE: fec_matricula
CLFC162,150,ONLINE,2025-03-07,4.0,,,,,2025-03-07,2025-03-07,ONLINE: fec_matricula
CLFC463,456,PRESENCIAL,2025-03-26,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
CLFC481,225,ONLINE,2025-03-27,4.0,,,,,2025-03-27,2025-03-27,ONLINE: fec_matricula
CLFC491,151,ONLINE,2025-03-27,4.0,,,,,2025-03-27,2025-03-27,ONLINE: fec_matricula
CLFC510,342,PRESENCIAL,2025-03-29,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC534,95,ONLINE,2025-04-01,4.0,,,,,2025-04-01,2025-04-01,ONLINE: fec_matricula
CLFC539,150,ONLINE,2025-04-01,4.0,,,,,2025-04-01,2025-04-01,ONLINE: fec_matricula
CLFC542,175,ONLINE,2025-04-01,4.0,,,,,2025-04-01,2025-04-01,ONLINE: fec_matricula
CLFC93,190,ONLINE,2025-03-01,4.0,,,,,2025-03-01,2025-03-01,ONLINE: fec_matricula
CLFC380,150,ONLINE,2025-03-20,4.0,,,,,2025-03-20,2025-03-20,ONLINE: fec_matricula
CLFC527,220,ONLINE,2025-03-31,4.0,,,,,2025-03-31,2025-03-31,ONLINE: fec_matricula
CLFC347,365,PRESENCIAL,2025-03-18,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
CLFC433,150,ONLINE,2025-03-24,4.0,,,,,2025-03-24,2025-03-24,ONLINE: fec_matricula
CLFC435,480,PRESENCIAL,2025-03-24,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
CLFC496,380,PRESENCIAL,2025-03-27,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC536,190,ONLINE,2025-04-01,4.0,,,,,2025-04-01,2025-04-01,ONLINE: fec_matricula
CLFC544,190,ONLINE,2025-04-02,4.0,,,,,2025-04-02,2025-04-02,ONLINE: fec_matricula
CLFC545,180,ONLINE,2025-04-02,4.0,,,,,2025-04-02,2025-04-02,ONLINE: fec_matricula
CLFC549,2803,PRESENCIAL,2025-04-02,0.0,2025-10-24,2025-05-17,2025-10-24,2025-05-17,2025-10-24,2025-05-17,Reconocimiento
CLFC552,380,PRESENCIAL,2025-04-02,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC85,480,PRESENCIAL,2025-02-28,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
